url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
https://www.promodentaire.com/gants-latex-non-poudres-maxter.html,,28587,Taille,S,,,,,,,,,,,,,Gants d’examen en latex non poudrés MAXTER,28587,28587,28587,"Gants d’examen en latex non poudrés MAXTER

très élastiques

Gants d’examens en latex sans poudre, ambidextres, micro-texturés, à usage unique.
Dispositif médical de classe I
Mandataire : Supermax.
La boîte de 100 gants",21.35,21.35,,,,,,,,
https://www.promodentaire.com/gants-latex-non-poudres-maxter.html,,28588,Taille,M,,,,,,,,,,,,,Gants d’examen en latex non poudrés MAXTER,28588,28588,28588,"Gants d’examen en latex non poudrés MAXTER

très élastiques

Gants d’examens en latex sans poudre, ambidextres, micro-texturés, à usage unique.
Dispositif médical de classe I
Mandataire : Supermax.
La boîte de 100 gants",21.35,21.35,,,,,,,,
https://www.promodentaire.com/gants-latex-non-poudres-maxter.html,,28589,Taille,L,,,,,,,,,,,,,Gants d’examen en latex non poudrés MAXTER,28589,28589,28589,"Gants d’examen en latex non poudrés MAXTER

très élastiques

Gants d’examens en latex sans poudre, ambidextres, micro-texturés, à usage unique.
Dispositif médical de classe I
Mandataire : Supermax.
La boîte de 100 gants",21.35,21.35,,,,,,,,
https://www.promodentaire.com/gants-latex-non-poudres-maxter.html,,28590,Taille,XL,,,,,,,,,,,,,Gants d’examen en latex non poudrés MAXTER,28590,28590,28590,"Gants d’examen en latex non poudrés MAXTER

très élastiques

Gants d’examens en latex sans poudre, ambidextres, micro-texturés, à usage unique.
Dispositif médical de classe I
Mandataire : Supermax.
La boîte de 100 gants",21.35,21.35,,,,,,,,
https://www.promodentaire.com/gants-latex-non-poudres-maxter.html,,28586,Taille,XS,,,,,,,,,,,,,,28586,28586,28586,,21.35,21.35,,,,,,,,
https://www.promodentaire.com/gants-nitrile-bleu-cobalt-maxter.html,,28556,Taille,XS,,,,,,,,,,,,,gants d’examen en nitrile bleu cobalt MAXTER,28556,28556,28556,"gants d’examen en nitrile bleu cobalt MAXTER
 
Gant d'examen en nitrile non poudré ambidextres, offrant une très bonne résistance aux agressions de produits chimiques et une souplesse étonnante permettant un toucher de grande sensibilité. Non stériles. Coloris bleu.
La boîte de 100 gants.
Dispositif médical de classe I. Mandataire : Supermax",25.85,25.85,,,,,,,,
https://www.promodentaire.com/gants-nitrile-bleu-cobalt-maxter.html,,28557,Taille,S,,,,,,,,,,,,,Gants d’examen en nitrile bleu cobalt MAXTER,28557,28557,28557,"Gants d’examen en nitrile bleu cobalt MAXTER
 
Gant d'examen en nitrile non poudré ambidextres, offrant une très bonne résistance aux agressions de produits chimiques et une souplesse étonnante permettant un toucher de grande sensibilité. Non stériles. Coloris bleu.
La boîte de 100 gants.
Dispositif médical de classe I. Mandataire : Supermax",25.85,25.85,,,,,,,,
https://www.promodentaire.com/gants-nitrile-bleu-cobalt-maxter.html,,28558,Taille,M,,,,,,,,,,,,,Gants d’examen en nitrile bleu cobalt MAXTER,28558,28558,28558,"Gants d’examen en nitrile bleu cobalt MAXTER
 
Gant d'examen en nitrile non poudré ambidextres, offrant une très bonne résistance aux agressions de produits chimiques et une souplesse étonnante permettant un toucher de grande sensibilité. Non stériles. Coloris bleu.
La boîte de 100 gants.
Dispositif médical de classe I. Mandataire : Supermax",25.85,25.85,,,,,,,,
https://www.promodentaire.com/gants-nitrile-bleu-cobalt-maxter.html,,28559,Taille,L,,,,,,,,,,,,,Gants d’examen en nitrile bleu cobalt MAXTER,28559,28559,28559,"Gants d’examen en nitrile bleu cobalt MAXTER
 
Gant d'examen en nitrile non poudré ambidextres, offrant une très bonne résistance aux agressions de produits chimiques et une souplesse étonnante permettant un toucher de grande sensibilité. Non stériles. Coloris bleu.
La boîte de 100 gants.
Dispositif médical de classe I. Mandataire : Supermax",25.85,25.85,,,,,,,,
https://www.promodentaire.com/gants-nitrile-bleu-cobalt-maxter.html,,28560,Taille,XL,,,,,,,,,,,,,Gants d’examen en nitrile bleu cobalt MAXTER,28560,28560,28560,"Gants d’examen en nitrile bleu cobalt MAXTER
 
Gant d'examen en nitrile non poudré ambidextres, offrant une très bonne résistance aux agressions de produits chimiques et une souplesse étonnante permettant un toucher de grande sensibilité. Non stériles. Coloris bleu.
La boîte de 100 gants.
Dispositif médical de classe I. Mandataire : Supermax",25.85,25.85,,,,,,,,
https://www.promodentaire.com/pompes-a-salive-medibase-100.html,,600462,Couleur,Transparent,,,,,,,,,,,,,POMPES A SALIVE EMBOUT DETACHABLE TRANSPARENT MEDIBASE,600462,600462,600462,"POMPES A SALIVE EMBOUT DETACHABLE TRANSPARENT MEDIBASE
 
Pompes à salive flexibles à usage unique en PVC Armées d'un fil métallique, mise en forme facile. Idéales pour toutes les utilisations même sur muqueuses irritées.
Le sachet de 100 pompes.
Couleur Transparente.
Longueur 15 cm. Ø 6,5 cm.
 
Marquage CE0051.
Fabricant : Euronda S.p.A., Italie.",5.35,4.6,,,,,,,,
